,title,location,posted_on,deadline,details,institute,link,keyword,comb,exist
227,Assistant (post-doc) - Department of Neurobiology (Opus 28) IP PAS,Poland,23 July 2025,12 Aug 2025 - 23:59 (Europe/Warsaw),"Candidate for the position of Assistant (post-doc) at the Department of Neurobiology IP PAS (Opus 28 grant), Maj Institute of Pharmacology, Polish Academy of Sciences. Maj Institute of Pharmacology Polish Academy of Sciences (further called Institute or IP PAS) announces a competition for the...",Institute of Pharmacology Polish Academy of Sciences,/jobs/363559,Behavioral_Data_Science,23 July 2025|/jobs/363559,False
228,"PhD Full-time position ""Hiking and children's socialization in the mountains"" (M/F)",France,23 July 2025,12 Aug 2025 - 23:59 (UTC),"Full-time position for 36 months Based at the Pacte laboratory, CNRS, Université Grenoble Alpes, Sciences po Grenoble-UGA. The PhD student will be co-supervised by Julien Bertrand (MCF HDR, Université Grenoble Alpes) and Clémence Perrin-Malterre (MCF HDR, Université de Savoie Mont-Blanc, EDYTEM)...",CNRS - National Center for Scientific Research,/jobs/363383,Behavioral_Data_Science,23 July 2025|/jobs/363383,False
229,"Lecturer, Lingnan Institute of Further Education",Hong Kong,23 July 2025,21 Aug 2025 - 00:00 (UTC),Lingnan University is one of the eight publicly funded institutions in the Hong Kong Special Administrative Region (HKSAR) and has the longest established tradition among the local institutions of higher education. It is widely recognised for providing quality education with a focus on whole-person...,Times Higher Education,/jobs/363339,Behavioral_Data_Science,23 July 2025|/jobs/363339,False
230,Assistant Researcher in Operations and Data Science | 2023.15056.TENURE.067,Portugal,22 July 2025,14 Aug 2025 - 17:00 (Europe/Lisbon),"FrameworkThe Rector of the Universidade Católica Portuguesa, Prof. Dr. Isabel Capeloa Gil, hereby announces the opening of an international call for applications for one vacancy of doctoral researcher auxiliar, with an exclusivity clause, to perform duties of scientific research, in the scientific...",Universidade Católica Portuguesa - CATÓLICA-LISBON,/jobs/363113,Behavioral_Data_Science,22 July 2025|/jobs/363113,False
231,Research Grant  UID/00730 -  (CINEICC) - L 1098181,Portugal,22 July 2025,7 Aug 2025 - 23:59 (Europe/London),"Call for Research Grant Assignment The University of Coimbra opens a call for the assignment of a research grant, with one position(s), under the project UID/00730 - Center for Research in Neuropsychology and Cognitive and Behavioral Intervention (CINEICC). The call is governed by this Notice of...",Universidade de Coimbra,/jobs/363089,Behavioral_Data_Science,22 July 2025|/jobs/363089,False
232,Ethics and Compliance officer of the Institutional Review Board,Belgium,8 July 2025,15 Sep 2025 - 01:36 (Europe/Brussels),"Institutional Review Board & Quality Assurance UnitIntroductionThe Institute of Tropical Medicine (ITM) strives to advance science and health for all, through innovative research, advanced education, capacity-building and capacity-sharing with partner institutions in Africa, Asia and Latin America...",Institute of Tropical Medicine (ITM),/jobs/359323,Behavioral_Data_Science,8 July 2025|/jobs/359323,False
233,Professor of Animal Welfare at the career level of Assistant Professor,Estonia,8 July 2025,15 Sep 2025 - 23:23 (Europe/Tallinn),"Duties and responsibilitiesTo carry out international education, research, and development activities in animal nutrition, with a particular emphasis on animal welfare. Supervising Bachelor’s, Master’s, and PhD projects. Curriculum development: Animal Welfare Master’s programme, and further...",Estonian University of Life Sciences,/jobs/359317,Behavioral_Data_Science,8 July 2025|/jobs/359317,False
235,Researcher in Economics of Animal Health,Norway,8 July 2025,15 Aug 2025 - 23:59 (Europe/Oslo),"About the positionWe are looking for a colleague who sees numbers not just as numbers, but as tools to understand, improve, and manage complex systems. At the Norwegian Veterinary Institute, you will apply economic analysis to explore how good animal health and welfare create value across sectors...",Norwegian Veterinary Institute,/jobs/359224,Behavioral_Data_Science,8 July 2025|/jobs/359224,False
237,PhD Position Symbolic AI and Reasoning Under Uncertainty,Netherlands,8 July 2025,31 Aug 2025 - 21:59 (UTC),Challenge: Confident and robust decision-making under uncertaintyChange: Leverage combinatorial and algorithmic methods for sensitivity analysisImpact: Enable confident and robust decision-making Modern decision-making increasingly relies on algorithms that provide recommendations based on models of...,Delft University of Technology via AcademicTransfer,/jobs/359053,Behavioral_Data_Science,8 July 2025|/jobs/359053,False
238,PhD Position Data-Driven Health Monitoring of Floating Wind Turbines,Netherlands,8 July 2025,31 Aug 2025 - 21:59 (UTC),"As pioneers in the field of wind energy, wave tank testing and control, we are looking for an ambitious PhD candidate to join our research group on the following topicJob descriptionWe are seeking a motivated researcher to join our team in advancing innovative approaches for mitigating wake...",Delft University of Technology via AcademicTransfer,/jobs/359055,Behavioral_Data_Science,8 July 2025|/jobs/359055,False
239,Postdoc AI-Powered Maritime Systems Optimization,Netherlands,8 July 2025,10 Aug 2025 - 21:59 (UTC),"Challenge: Managing one of the world’s busiest maritime corridors while integrating offshore renewable energy.Change: Leveraging AI to support safer, smarter, and more sustainable maritime operations.Impact: Future-proofing critical North Sea infrastructure and navigation.Job descriptionThe North...",Delft University of Technology via AcademicTransfer,/jobs/359063,Behavioral_Data_Science,8 July 2025|/jobs/359063,False
240,PIONEER-TOPIC#2025: On-Emergency Demand: A New Mobility Service Enhancing Accessibility During Crisis Situations,France,7 July 2025,24 Aug 2025 - 00:00 (Europe/Paris),"In the face of increasingly frequent and complex crises, ranging from natural disasters to infrastructure breakdowns and pandemics, ensuring accessible and adaptable mobility services is a growing priority for urban transport systems. This PhD research, conducted in collaboration between Université...",Université Gustave Eiffel,/jobs/358962,Behavioral_Data_Science,7 July 2025|/jobs/358962,False
241,MSCA PF hosting - postdoctoral opportunity in social or biomedical data science and network science,Hungary,7 July 2025,15 October 2025,Research Team: The Human & Social Data Science Lab (HSDSLab) is a group of researchers at the Budapest University of Technology and Economics led by Dr Roland Molontay. HSDSLab conducts both methodology oriented basic research in data and network science and applied research with a human-centered...,Budapest University of Technology and Economics,/jobs/hosting/msca-pf-hosting-postdoctoral-opportunity-social-or-biomedical-data-science-and-network,Behavioral_Data_Science,7 July 2025|/jobs/hosting/msca-pf-hosting-postdoctoral-opportunity-social-or-biomedical-data-science-and-network,False
242,Postdoctoral Researcher in Modeling Anthropometric Variability Using Deep Machine Learning,Sweden,29 May 2025,31 Aug 2025 - 22:00 (UTC),"We are looking for a postdoctoral researcher to join our international team at the forefront of human body modeling for injury prediction. In this project, you will apply state-of-the-art Artificial Intelligence (AI) and Machine Learning (ML) techniques to medical imaging data to develop statistical...",Talentech,/jobs/347944,Behavioral_Data_Science,29 May 2025|/jobs/347944,False
243,Seeking a few Research Scientists or Postdoctoral Researchers (W25015)（Mathematical Social Science Team）,Japan,29 May 2025,22 May 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences (iTHEMS) promotes interdisciplinary collaborations and the creation of new interdisciplinary fields...,JREC-IN Portal,/jobs/348039,Behavioral_Data_Science,29 May 2025|/jobs/348039,False
244,Etude expérimentale et numérique du refroidissement et du stockage de la châtaigne : lien entre l'itinéraire thermique et la qualité // Experimental and numerical study of chestnut cooling and storage: link between thermal itinerary and quality evolution,France,28 May 2025,31 Aug 2025 - 22:00 (UTC),"La FAO estime que chaque année, environ un tiers de tous les aliments produits dans le monde pour la consommation humaine sont perdus ou gaspillés avec de grands effets économiques, sociaux et environnementaux. La châtaigneraie fruitière française est un marqueur de l'identité, des paysages et de l...",ABG  - Association Bernard Gregory,/jobs/347633,Behavioral_Data_Science,28 May 2025|/jobs/347633,False
248,MSCA – Postdoctoral Fellowship in Organic Chemistry (Liquid Crystal),Türkiye,27 May 2025,10 September 2025,"Main discipline: Organic Chemistry Secondary discipline: Photo-physical chemistry Keywords: chromophore, liquid crystal, photochromism, non linear optic, thin films, 3D optical data storage, second harmonic generation, two-photon absorption. This is a call for expressions of interest from...",Yildiz Technical University,/jobs/hosting/msca-postdoctoral-fellowship-organic-chemistry-liquid-crystal-0,Behavioral_Data_Science,27 May 2025|/jobs/hosting/msca-postdoctoral-fellowship-organic-chemistry-liquid-crystal-0,False
249,Doctoral fellow - Department of Structural Engineering and Building Materials,Belgium,27 May 2025,24 Aug 2025 - 21:59 (UTC),Department TW14 - Department of Structural Engineering and Building MaterialsContract Limited durationDegree MSc in Structural or Mechanical EngineeringOccupancy rate 100%Vacancy type Research staffJob descriptionABOUT GHENT UNIVERSITYGhent University is a world of its own. Employing more than 15...,Academic Positions,/jobs/347343,Behavioral_Data_Science,27 May 2025|/jobs/347343,False
250,PhD Student for TRANSFORM research project,Spain,26 May 2025,30 Sep 2025 - 23:59 (Europe/Madrid),The Massachusetts Institute of Technology (MIT) and the Zaragoza Logistics Center (ZLC) in Spain have partnered to create an international program for education and research in logistics & supply chain management. This successful partnership led to the creation of the MIT Global SCALE Network that...,Zaragoza Logistics Center - ZLC,/jobs/347181,Behavioral_Data_Science,26 May 2025|/jobs/347181,False
251,Postdoc: Agent-based modelling for revitalised Dutch peatlands,Netherlands,23 May 2025,15 Aug 2025 - 21:59 (UTC),"The Postdoc will work within the transdisciplinary VeenVitaal project (https://veenvitaal.info/), which has been running for about 2.5 years now, and will run until the end of 2027. The project aims to contribute to revitalised peatlands in The Netherlands, and you will contribute to this by: (1)...",AcademicTransfer,/jobs/346458,Behavioral_Data_Science,23 May 2025|/jobs/346458,False
253,Postdoctoral Position on Estimation and Implications of Invisible Languages on the Internet,Netherlands,15 July 2025,30 Sep 2025 - 21:59 (UTC),University of Amsterdam’s Amsterdam School of Communication Research (ASCoR) invites applications for a fully funded Postdoctoral Researcher on our ‘Invisible Languages’ project. The postdoc appointee will assess grassroots and digital prevalence for more than 7000 languages currently spoken by...,University of Amsterdam (UvA) via AcademicTransfer,/jobs/360961,Behavioral_Data_Science,15 July 2025|/jobs/360961,False
254,Postdoctoral Position on Timber and Biobased Structures of the 21st Century,Netherlands,15 July 2025,31 Aug 2025 - 21:59 (UTC),Are you interested in timber and other biobased materials? Do you like hands-on and experimental research? Join us in our quest for timber and biobased structures of the 21st century.Jobdescription Delft University of Technology is hiring a postdoctoral researcher that will help expand its research...,Delft University of Technology via AcademicTransfer,/jobs/360964,Behavioral_Data_Science,15 July 2025|/jobs/360964,False
255,PhD Candidate in Experimental Biological Physics of Cardiovascular Systems,Netherlands,15 July 2025,17 Aug 2025 - 21:59 (UTC),"Are you intrigued by the physical mechanisms that drive biological processes? Are you passionate about using microscopy, experimental biophysics, and image processing to understand cell and tissue behaviour under mechanical stimuli? Then this might be the ideal position for you! Fluidlab at the...",University of Amsterdam (UvA) via AcademicTransfer,/jobs/360973,Behavioral_Data_Science,15 July 2025|/jobs/360973,False
256,Call for Research Grant Assignment | 1108273 | REMORA,Portugal,14 July 2025,6 Oct 2025 - 23:59 (Europe/Lisbon),"Call for Research Grant AssignmentThe University of Coimbra opens a call for the assignment of a research grant, with 1 position(s), under the project REMORA, titled “Swarm Robotics for the Monitoring and Enhancement of Aquatic Resources”.The call is governed by this Notice of Opening, the...",Universidade de Coimbra,/jobs/360943,Behavioral_Data_Science,14 July 2025|/jobs/360943,False
257,2023.15056.TENURE.054- CBQF Chair in Computational Microbiology,Portugal,14 July 2025,24 Aug 2025 - 17:00 (Europe/Lisbon),PUBLIC NOTICE/0067/2025 PUBLIC NOTICE FOR AN INTERNATIONAL CALL FOR APPLICATIONS FOR THE POST OF DOCTORAL RESEARCHER Application Reference: 2023.15056.TENURE.054 | CBQF Chair in Computational Microbiology Assistant Researcher |Universidade Católica Portuguesa Portuguese version 1. FrameworkThe...,Universidade Católica Portuguesa - Porto,/jobs/360941,Behavioral_Data_Science,14 July 2025|/jobs/360941,False
258,OPENING FOR PHD SCHOLARSHIP IN QUANTUM INFORMATION   AT THE CENTER FOR THEORETICAL PHYSICS PAS,Poland,14 July 2025,8 Aug 2025 - 23:59 (Europe/Warsaw),We are seeking candidates for one PhD position at the Center for Theoretical Physics of the Polish Academy of Sciences in Warsaw within the SONATA BIS project titlted “Characterization and certification of quantum resources” financed by the Polish National Science Centre (grant agreement no. UMO...,Center for Theoretical Physics PAS,/jobs/360915,Behavioral_Data_Science,14 July 2025|/jobs/360915,False
260,The Dean of the Faculty of Environmental Biology  of the University of Life Sciences in Lublin  announces an open competition  for the post of research and teaching assistant in the Department of Invertebrate Ecophysiology and Experimental Biology  The co,Poland,14 July 2025,14 Aug 2025 - 15:00 (Europe/Warsaw),"Requirements for the Applicants:1. A PhD in biological sciences,2. Documented scientific achievements in the field of apidology and/or entomology, including publications from the JCR list,3. Experience in laboratory work and knowledge of morphological and biochemical methods used in analyses in the...",University of Life Sciences in Lublin,/jobs/360879,Behavioral_Data_Science,14 July 2025|/jobs/360879,False
261,PIONEER-TOPIC#2025: Effect of air pollution on populations in urban areas of PIONEER cities: comparative study of Lisbon and Lyon,France,14 July 2025,11 Aug 2025 - 12:16 (Europe/Paris),"Traffic emissions have become the major air pollution source in urban areas [1, 2], and the United Nations Organisation stresses that air pollution in Europe remains one of the greatest environmental health threats [3].This PhD proposal focuses on the analysis of the effects of air pollution on...",Université Gustave Eiffel,/jobs/360849,Behavioral_Data_Science,14 July 2025|/jobs/360849,False
267,MSCA-PF: Joint application at the University of Granada. Department of Marketing and Market Research.,Spain,20 May 2025,10 September 2025,"Professor Francisco Javier Montoro Ríos , from the Department of Marketing and Market Research at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please note that...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-marketing-and-market-7,EEG,20 May 2025|/jobs/hosting/msca-pf-joint-application-university-granada-department-marketing-and-market-7,False
268,MSCA-PF: Joint application at the University of Granada. Department of Marketing and Market Research.,Spain,20 May 2025,10 September 2025,"Professor Francisco Javier Montoro Ríos , from the Department of Marketing and Market Research at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please note that...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-marketing-and-market-6,EEG,20 May 2025|/jobs/hosting/msca-pf-joint-application-university-granada-department-marketing-and-market-6,False
269,Postdoctoral Position in Disinformation,Spain,8 May 2025,30 October 2025,"USP-CEU welcomes early stage postdoctoral researchers with an excellent track record, to apply to the European Commission Marie Sklodowska-Curie (MSCA-25) Postodoctoral Felloships or any other R2 reseach calls, such as: Juan de la Cierva (Spanish Plan for Scientific and Technical Research and......",CEU San Pablo University,/jobs/hosting/postdoctoral-position-disinformation,EEG,8 May 2025|/jobs/hosting/postdoctoral-position-disinformation,False
270,Marie Sklodowska-Curie Postdoctoral Fellowships (PF),Spain,7 May 2025,10 September 2025,"The IPsiUS is a recently created research centre (2024) that brings together the most active research groups in Psychology at the University of Santiago de Compostela , in Galicia, Spain. Our institution is recognized with the HR Excellence in Research award, which identifies organisations that...",UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,/jobs/hosting/marie-sklodowska-curie-postdoctoral-fellowships-pf-2,EEG,7 May 2025|/jobs/hosting/marie-sklodowska-curie-postdoctoral-fellowships-pf-2,False
271,"The Cognitive Dynamics and Adaptability lab at the Open University of Israel is seeking curious postdocs, for a collaboration with Harvard University.",Israel,29 April 2025,31 December 2025,"Research in the lab, led by Dr. Halely Balaban, focuses on how people process dynamic information, modify their representations in real time, and predict how things might unfold, and how all this is influenced by prior knowledge and expectations. The ISF-funded project uses a novel combination of...",Open University of Israel,/jobs/hosting/cognitive-dynamics-and-adaptability-lab-open-university-israel-seeking-curious,EEG,29 April 2025|/jobs/hosting/cognitive-dynamics-and-adaptability-lab-open-university-israel-seeking-curious,False
273,"Junior Professorship, Economics, in Particular Behavioral Economics (W1)",Germany,2 August 2025,30 Aug 2025 - 00:00 (UTC),"HUMANISTIC. SUSTAINABLE. ENTREPRENEURIAL. Leuphana University of Lüneburg stands for innovation in research and education. Methodological diversity, interdisciplinary collaboration, transdisciplinary cooperation with partners outside academia and a dynamic development characterize its research...",Times Higher Education,/jobs/366216,Behavioral_Data_Science,2 August 2025|/jobs/366216,False
275,"Teaching staff in the higher education for the position of adjunct professor, in the field of Human Resources Management",Portugal,1 August 2025,16 Sep 2025 - 23:59 (Europe/Lisbon),"invites applications for the above post within a period of thirty working days from the publication of the present announcement in the Diário da República. The position, which was created but not yet filled within the academic staff of the IPS, is governed by the career structure of the national...",Instituto Politécnico de Setúbal,/jobs/366159,Behavioral_Data_Science,1 August 2025|/jobs/366159,False
276,Contract researcher in thermally conductive polymer materials M/F,France,1 August 2025,21 Aug 2025 - 23:59 (UTC),"As part of a new applied research program, ICGM, and in particular its “Macromolecular Materials Chemistry” department, is looking to recruit a contract researcher to contribute to the development of a new generation of electrical insulators with a thermosetting polymer matrix offering high thermal...",CNRS - National Center for Scientific Research,/jobs/366004,Behavioral_Data_Science,1 August 2025|/jobs/366004,False
277,Two PhD Positions Experimental Investigation of Inertial Dense Suspensions,Netherlands,1 August 2025,15 Sep 2025 - 21:59 (UTC),"Two PhD Positions: Experimental Investigation of Inertial Dense SuspensionsJob descriptionInertial Dense Suspensions (IDeS) are very common in nature and industry, with examples including blood flow, recycling, waste slurry transport, additive manufacturing, and energy storage solutions. While they...",Delft University of Technology via AcademicTransfer,/jobs/365948,Behavioral_Data_Science,1 August 2025|/jobs/365948,False
281,Postdoctoral researcher in the ERC-funded project “The Politics of the Latent Educational Cleavage” (POLEDUC),Germany,31 July 2025,15 Sep 2025 - 00:00 (Europe/Berlin),The Department of Social Sciences at Goethe University Frankfurt am Main has an opening for a Postdoctoral Researcher at the Chair of Comparative Political Science (Prof. Dr. Julian Garritzmann) to start on 01.01.2026 (or at the earliest possible date).Postdoctoral researcher in the ERC-funded...,Goethe University,/jobs/365819,Behavioral_Data_Science,31 July 2025|/jobs/365819,False
282,"Assistant Professor, in the academic field of Organization and  Management, Subarea of Organizational Theory and Behavior",Portugal,31 July 2025,12 Sep 2025 - 23:59 (Europe/Lisbon),"By order of the President of the Instituto Superior de Engenharia do Porto, dated 22/07/2025, it was decided to open a documentary competition, under the modality of a permanent public employment contract, for the recruitment of one position within the teaching staff career of the polytechnic higher...",Instituto Superior de Engenharia do Porto,/jobs/365807,Behavioral_Data_Science,31 July 2025|/jobs/365807,False
286,Tenure-Track Professorship in Human Computer Interaction,Austria,17 July 2025,17 Sep 2025 - 00:00 (UTC),"Job description: The University of Vienna is internationally renowned for its excellence in teaching and research, and counts more than 7,500 academics from all disciplines. This breadth of expertise offers unique opportunities to address the complex challenges of modern society, to develop...",University of Vienna (JOBCENTER),/jobs/361900,Neuroinformatics,17 July 2025|/jobs/361900,False
289,Assistant,Poland,26 May 2025,12 Sep 2025 - 23:59 (Europe/Warsaw),"PCB-1222A-12/2025 RECTOROF MARIA CURIE-SKŁODOWSKA UNIVERISTY IN LUBLINannounces a competition for the position of an Assistant in the group of research and teaching staff in the Department of Neuroinformatics and Biomedical Engineering at the Institute of Computer Science and Mathematics,the Faculty...",MARIA CURIE-SKLODOWSKA UNIVERSITY IN LUBLIN,/jobs/347150,Neuroinformatics,26 May 2025|/jobs/347150,False
292,Post-Doctoral Research Visit F/M Inference of a demo-genetic model for sustainable plant resistance,France,20 March 2025,30 Sep 2025 - 00:00 (UTC),"This postdoctoral position if funded by the ANR (French National Research Agency) ENDURANCE ENhanced DURability AgaiNst Crop Enemies project, which brings together partners from INRAE and Inria. This interdisciplinary project combines molecular biology, population genetics, and epidemiological...",inria,/jobs/327422,Time-series_analysis,20 March 2025|/jobs/327422,False
293,Apport des mesures depuis une plateforme de haute altitude pour estimer les émissions de méthane à l'échelle régionale // Contribution of measurements from a high altitude platform to estimate methane emissions at a regional scale,France,18 January 2025,31 Aug 2025 - 22:00 (UTC),"Être en mesure de quantifier les émissions naturelles et anthropiques de méthane nécessite d'être capables de proposer des mesures avec une excellente précision (relative et absolue), et une résolution temporelle et spatiale suffisante qui n'est aujourd'hui pas accessible, ni depuis le sol ni depuis...",ABG  - Association Bernard Gregory,/jobs/309568,Time-series_analysis,18 January 2025|/jobs/309568,False
294,FlashFloodBreaker - PhD Scholarship Machine Learning  NIMBUS Research Centre and the Sustainable Infrastructure Research & Innovation Group (SIRIG) MTU Cork Campus,Ireland,22 February 2024,,Outline PhD Scholarship The MTU NIMBUS Research Centre and the Sustainable Infrastructure Research & Innovation Group (SIRIG) are pleased to offer a PhD scholarship for research in the area of machine learning and data science. The scholarship is set within the Flash Flood Breaker Project which is a...,MTU (Munster Technological University),/jobs/funding/flashfloodbreaker-phd-scholarship-machine-learning-nimbus-research-centre-and,Time-series_analysis,22 February 2024|/jobs/funding/flashfloodbreaker-phd-scholarship-machine-learning-nimbus-research-centre-and,False
295,Scientific Officer/Research Officer in the Department of Medicine,Hong Kong,29 May 2025,31 Aug 2025 - 00:00 (UTC),"Ref.: 532136 Work type: Full-time Department: Department of Medicine, School of Clinical Medicine (20600) Categories: Senior Research Staff & Post-doctoral Fellow, Research Staff Scientific Officer/Research Officer in the Division of Neurology of the Department of Medicine, School of Clinical...",Times Higher Education,/jobs/348151,Neuroimaging_Science,29 May 2025|/jobs/348151,False
313,Assistant (post-doc) at the Department of Neurobiology IP PAS,Poland,21 July 2025,7 Aug 2025 - 23:59 (Europe/Warsaw),"Candidate for the position of Assistant (post-doc) at the Department of Neurobiology IP PAS, Maj Institute of Pharmacology, Polish Academy of Sciences. KEYWORDS: depression, stress, serotonin receptors Maj Institute of Pharmacology Polish Academy of Sciences (further called Institute or IP PAS)...",Institute of Pharmacology Polish Academy of Sciences,/jobs/362744,Behavioral_Data_Science,21 July 2025|/jobs/362744,False
314,"Postdoctoral Researcher (Bioinformatics) - IMol, Polish Academy of Sciences",Poland,20 July 2025,12 Oct 2025 - 23:00 (UTC),"The International Institute of Molecular Mechanisms and Machines (IMol) Polish Academy of Sciences, is a new and vibrant institute constituted in partnership with University Medical Center Göttingen, Germany and University of Warsaw, Poland. We provide innovative training, guidance and mentoring in...",jobRxiv,/jobs/362666,Behavioral_Data_Science,20 July 2025|/jobs/362666,False
315,Scientific Product Manager for ExELang team (ERC Project),France,19 July 2025,15 Sep 2025 - 23:59 (Europe/Paris),"WORKING ENVIRONMENTThe candidate will join an interdisciplinary laboratory composed of several research teams, bringing together principal investigators, postdoctoral researchers, and PhD students working collaboratively on multiple projects, exploring scientific literature and experimental...",Ecole Normale Supérieure,/jobs/362652,Behavioral_Data_Science,19 July 2025|/jobs/362652,False
316,An assistant professor (animal science and fisheries),Poland,19 July 2025,31 Aug 2025 - 23:59 (Europe/Warsaw),Rector of the University of Siedlceannounces the competition for the position of:an assistant professor (in the research and teaching group)discipline: animal science and fisheriesat the Faculty of Agricultural Sciences (Institute of Zootechnics and Fisheries),Siedlce University of Natural Sciences and Humanities,/jobs/362651,Behavioral_Data_Science,19 July 2025|/jobs/362651,False
318,I-2502 - Post Doc in Knowledge-based Hybrid AI for Car Driver Modelling in Complex Maneuvers,Luxembourg,19 July 2025,30 Aug 2025 - 21:59 (UTC),"I-2502 - Post Doc in Knowledge-based Hybrid AI for Car Driver Modelling in Complex Maneuvers Temporary Contract, 24 Months, Full-time/40h LIST - Luxembourg Institute of Science and Technology Esch-sur-Alzette, Luxembourg Are you passionate about research? So are we! Come and join us The Luxembourg...",EuroScienceJobs,/jobs/362523,Behavioral_Data_Science,19 July 2025|/jobs/362523,False
319,PhD ML based implementation of consttutive behaviour of Stainless steel 1.0 FTE,Netherlands,19 July 2025,14 Sep 2025 - 22:00 (UTC),PhD position: ML based implementation of constitutive behavior of stainless steel Metal forming is a widely used method to form steel products efficiently in mass manufacturing. As steel is highly recyclable its usage helps in creating a more sustainable world. For simulations of industrial...,University of Groningen via AcademicTransfer,/jobs/362541,Behavioral_Data_Science,19 July 2025|/jobs/362541,False
320,Assistant in the group of lecturers,Poland,18 July 2025,18 Aug 2025 - 23:59 (Europe/Warsaw),"The assistant's duties will include:• conducting classes with students of Zoophysiotherapy, Zoophysiotherapy and animal care, Veterinary inspection, andAnimal science, including in the field of animal behavior, animal psychology, animal welfare• organizational activities for the Department, Faculty...",University of Technology and Life Sciences,/jobs/362396,Behavioral_Data_Science,18 July 2025|/jobs/362396,False
321,Postdoctoral researcher – SONATA 20 – Dr Martin Nurmik group,Poland,18 July 2025,12 Oct 2025 - 23:59 (Europe/Warsaw),"The International Institute of Molecular Mechanisms and Machines (IMol) Polish Academy of Sciences, is a new and vibrant institute constituted in partnership with University Medical Center Göttingen, Germany and University of Warsaw, Poland. We provide innovative training, guidance and mentoring in...",The International Institute of Molecular Mechanisms and Machines Polish Academy of Sciences,/jobs/362336,Behavioral_Data_Science,18 July 2025|/jobs/362336,False
322,Research assistant “teacher leadership” and “data literacy” primary education,Belgium,18 July 2025,17 Aug 2025 - 23:59 (UTC),Are you fascinated by school development? Do you want to contribute to strengthening primary education? We are looking for a talented researcher for a dissertation on “teacher leadership” and “data literacy” in primary education.,KU Leuven,/jobs/362210,Behavioral_Data_Science,18 July 2025|/jobs/362210,False
324,Postdoc in Human Physiological Development and Metabolic Diseases (f/m/x),Germany,15 July 2025,13 Oct 2025 - 21:59 (UTC),"Area of research:Scientific / postdoctoral postsJob description:Postdoc in Human Physiological Development and Metabolic Diseases (f/m/x)102775Full time39 hrs./weekTübingenAt Helmholtz Munich, we develop groundbreaking solutions for a healthier society in a rapidly changing world. We believe that...",Helmholtz Association of German Research Centres,/jobs/360985,Cognitive_Neuroscience,15 July 2025|/jobs/360985,False
327,Assistant Professor Clinical Neuropsychology,Netherlands,11 July 2025,31 Aug 2025 - 21:59 (UTC),Welcome to Maastricht UniversityAre you a PhD graduate with post-doctoral training and a strong research profile in clinical neuropsychology? Do you have experience with psychodiagnostics and/or interventions in patient populations (without necessarily working in a clinical setting yourself)? And...,Maastricht University via AcademicTransfer,/jobs/360341,Cognitive_Neuroscience,11 July 2025|/jobs/360341,False
331,Postdoc for studying memory circuits,United Kingdom,9 July 2025,10 Aug 2025 - 23:59 (Europe/London),"We are recruiting a neuroscience postdoc!https://www.jobs.cam.ac.uk/job/51882/TheTamura Lab for Circuit Physiology of Cognition is based in the University of Cambridge, UK.We are looking for an ambitious and creative neurophysiologist to join our brand-new project funded by Medical Research Council...",University of Cambridge,/jobs/359628,Cognitive_Neuroscience,9 July 2025|/jobs/359628,False
333,"(M/F) : Thesis offer : Interactive Software Environment for musical, visual and multisensory artistic creation by means of gesture-sound-image physical modeling and simulation",France,30 July 2025,19 Aug 2025 - 23:59 (UTC),"The Gipsa-lab is a joint research laboratory of the CNRS, Grenoble-INP -UGA and the University of Grenoble Alpes. It is under agreement with Inria and the Observatory of Sciences of the Universe of Grenoble. He conducts theoretical and applied research on AUTOMATICS, SIGNAL, IMAGES, SPEECH...",CNRS - National Center for Scientific Research,/jobs/365366,Behavioral_Data_Science,30 July 2025|/jobs/365366,False
335,Research Assistant Delphi study,Netherlands,30 July 2025,20 Aug 2025 - 22:00 (UTC),"In the past years, many studies have investigated which factors influenced public adherence to COVID-19 prevention measures. However, evidence on the role of psychosocial and contextual characteristics remains fragmented. In this project, you will contribute to conducting an expert consensus study...",AcademicTransfer,/jobs/365248,Behavioral_Data_Science,30 July 2025|/jobs/365248,False
337,PhD Scientific Researcher Recruitment (Assistant Researcher) #5022,Portugal,29 July 2025,13 Aug 2025 - 23:59 (Europe/Lisbon),"#5022Public Notice - International Selection ProcedurePhD Scientific Researcher Recruitment (Assistant Researcher)FCiências.ID/2025/DL57/ cE3c/8 FCiências.ID - Associação para a Investigação e Desenvolvimento de Ciências, through its President of the Administration Board, hereby announces the...",FCiências.ID,/jobs/365216,Behavioral_Data_Science,29 July 2025|/jobs/365216,False
