title,location,posted_on,deadline,details,institute,link,keyword
Post-Doctoral Associates in the Center for Brain and Health (CBH) - Dr. Bas Rokers,United Arab Emirates,31 July 2025,30 Aug 2025 - 00:00 (UTC),"Description The Center for Brain and Health and the ASPIRE Precision Medicine Research Institute at New York University Abu Dhabi (NYUAD) seek to recruit Post-Doctoral Associates for two projects for Rokers Vision Lab reporting to Dr. Bas Rokers. 1) Linking Retinal, Neural, and Perceptual Deficits...",Times Higher Education,/jobs/365671,Neural_Engineering
PhD and Postdoc positions in Artificial Intelligence Methods in Magnetic Resonance Spectroscopy and Imaging,Israel,30 July 2025,30 Sep 2025 - 00:00 (Africa/Abidjan),"Following the award of ERC Advanced and Israel Science Foundation grants, the Frydman and Kuprov groups at the Weizmann Institute of Science have a joint PhD student vacancy in Artificial Intelligence methods in Magnetic Resonance Spectroscopy and Imaging. Project topics include: Steady-state free...",Weizmann Institute of Science,/jobs/365505,Neural_Engineering
Postdoctoral fellow - Department of Human Structure and Repair,Belgium,30 July 2025,31 Aug 2025 - 21:59 (UTC),"Last application date Aug 31, 2025 23:30Department GE38 - Department of Human Structure and RepairContract Limited durationDegree PhD in Biochemistry, Biotechnology, Biomedical Sciences, Biomedical Engineering, Bioscience Engineering, Biophotonics, Bioinformatics or equivalentOccupancy rate 100...",Academic Positions,/jobs/365375,Neural_Engineering
Postdoctoral researcher in cardiovascular image analysis,Netherlands,30 July 2025,11 Aug 2025 - 21:59 (UTC),"The Biomedical engineering & physics department of Amsterdam UMC is looking for a postdoc in medical imaging, deep learning, and cardiovascular modeling.You will work on a project focused on improving risk stratification for Marfan syndrome patients, with a strong translational goal of informing......",AcademicTransfer,/jobs/365246,Neural_Engineering
"Postdoctoral Research Fellow in Cognitive Neuroscience, The MARCS Institute for Brain",Australia,30 July 2025,13 Aug 2025 - 00:00 (UTC),"Postdoctoral Research Fellow in Cognitive Neuroscience, The MARCS Institute for Brain, Behaviour and Development Full-Time, Fixed-Term Position for 2.5 Years Based at Westmead Innovation Quarter $112,718 to $136,180 p.a. Inclusive of Superannuation + Leave Loading About Western and The MARCS...",Times Higher Education,/jobs/365336,Neural_Engineering
"TEMATICA, META-MEMS-BASED PHYSICAL NEURAL NETWORKS",Italy,29 July 2025,30 Sep 2025 - 23:59 (UTC),"Admission to Ph.D. programmes will be determined on the basis of an assessment of the educational curriculum and qualifications, the Personal statement and a document illustrating the development of a possible Ph.D. research project, which candidates must send at the time of applying for selection","Italian Ministry of Education, University and Research",/jobs/364960,Neural_Engineering
PhD on Intelligent data-driven charge management system for future electrified mobility,Netherlands,29 July 2025,15 Sep 2025 - 21:59 (UTC),"Are you passionate about advancing sustainable mobility solutions? Are you eager to work on the intersection of AI, optimization, and energy management? Are you interested to apply and valorize scientific results in this field in electrified mobility, together with a highly innovative company? Then...",AcademicTransfer,/jobs/364828,Neural_Engineering
"Research Associate / Post-Doctoral Associate in the Division of Science, Biology",United Arab Emirates,29 July 2025,28 Jul 2026 - 00:00 (UTC),"Description The RNA Modifications, Intellect, and NeuroDegeneration (RNA-MIND) Laboratory under the Biology Program, Division of Science, of New York University Abu Dhabi seeks to recruit a research associate/postdoctoral associate to work on projects focused on understanding RNA modification...",Times Higher Education,/jobs/364854,Neural_Engineering
Research Fellowship (CIPSI-BI-FB-277LC-03),Portugal,28 July 2025,31 Aug 2025 - 23:59 (Europe/Lisbon),"ANNOUNCEMENT FOR THE AWARD OF A RESEARCH FELLOWSHIP Title: Research Fellowship - 1 positionCIPSI-BI-FB-277LC-03 A call for applications is now open for the attribution of 1 (one) Research Fellowship within the scope of the project ""Anger in the mind and body: from unconscious cognitive mechanisms to...",Centro de Investigação em Psicologia (CIPsi),/jobs/364775,Neural_Engineering
PhD Position F/M Generative models for unsupervised anomaly detection in spatio-temporal data: Application to medical imaging,France,16 July 2025,30 Sep 2025 - 00:00 (UTC),"Anomaly detection is a challenging task in contexts where abnormalities are not annotated and difficult to detect even for experts. This problem can be addressed through unsupervised anomaly detection (UAD) methods, which identify features that do not match with a reference model of normal profiles...",inria,/jobs/361425,Computational_Neuroscience
PhD position – Cellular and developmental biology,Belgium,15 July 2025,30 Aug 2025 - 23:59 (Europe/Brussels),"Genome and proteome integrity are crucial for proper embryo development, but how both are monitored across lineage specification remains an open question. We have recently identified that morphogenetic and patterning signals regulate DNA replication dynamics and chromosome segregation fidelity in a...",Université Libre de Bruxelles (ULB),/jobs/361351,Computational_Neuroscience
ISTA-Fellow Postdoctoral Program,Austria,15 July 2025,16 Sep 2025 - 14:00 (Europe/Vienna),The call for applications for the ISTA-Fellow Postdoctoral Program is open! Are you eager to perform cutting-edge research in an international environment? Do you want to push the frontiers of science and work with supervisors and colleagues that are among the best in the world?The ISTA-Fellow...,Institute of Science and Technology Austria,/jobs/361299,Computational_Neuroscience
NOMIS-ISTA Fellowship Program,Austria,15 July 2025,18 Sep 2025 - 14:00 (Europe/Vienna),NOMIS-ISTA Fellowship ProgramCall for proposalsThe NOMIS Foundation and the Institute of Science and Technology Austria (ISTA) have launched an interdisciplinary basic research program for exceptional postdoctoral scientists.The NOMIS-ISTA Fellowship Program provides postdocs with the freedom to...,Institute of Science and Technology Austria,/jobs/361195,Computational_Neuroscience
PhD student in single-cell and spatial transcriptomics in the GliaOmics Lab,Czech Republic,15 July 2025,30 Aug 2025 - 22:00 (UTC),"Institute of Biotechnology of the Czech Academy of Sciences announces an open competition in accordance with the Act No. 283/1992 Coll. on the Czech Academy of Sciences, and the Statutes of the Czech Academy of Sciences for a position: PhD student in single-cell and spatial transcriptomics in the...",ResearchJobs.cz,/jobs/360991,Computational_Neuroscience
Associate Professor/Assistant Professor in Brain Cognition and AI,Macao,15 July 2025,12 Sep 2025 - 00:00 (UTC),The University of Macau (UM) is an internationalized research-oriented comprehensive public university in the Macao Special Administrative Region (MSAR) located at the west bank of the Guangdong-Hong Kong-Macao Greater Bay Area (GBA). The GBA is rapidly developing into one of the leading technology...,Times Higher Education,/jobs/361011,Computational_Neuroscience
PhD student in ElectroDNA project of the Brain & Mind Electrophysiology lab,Poland,11 July 2025,21 Aug 2025 - 00:00 (Europe/Warsaw),"Three year position in an international project entitled ‘Electrophysiological Discharges of Neuronal Assemblies’ (ElectroDNA) funded in the European Lead Agency Procedure (Opus LAP grant) between Poland and Czech Republic, with a goal to decipher the code of human memories on the level of...",Gdańsk University of Technology,/jobs/360514,Computational_Neuroscience
CALL FOR APPLICATIONS   FOR PhD PROGRAMMES “PEGASO” - 41th CYCLE with administrative headquarters at the University of Florence,Italy,11 July 2025,7 Aug 2025 - 12:00 (UTC),"1. This call governs the procedures for admission to the 40th cycle PhD programmes with administrative headquarters at the University of Florence. Pegaso Scholarships are funded by the Regione Toscana using PR FSE 2021/27 resources within the framework of Giovanisì (www.giovanisi.it), the Regione...","Italian Ministry of Education, University and Research",/jobs/360440,Computational_Neuroscience
MSc Position in Computational Neuroscience,Canada,11 July 2025,2 Sep 2025 - 22:00 (UTC),"Are you curious about how emerging therapies and environmental exposures influence brain development in children with epilepsy? Do you want to contribute to a cutting-edge, interdisciplinary research initiative that bridges neuroscience, clinical psychology, and pediatric care? The Sherbrooke...",ABG  - Association Bernard Gregory,/jobs/360362,Computational_Neuroscience
Postdoctoral researcher in ElectroDNA project of the Brain & Mind Electrophysiology lab,Poland,10 July 2025,21 Aug 2025 - 00:00 (Europe/Warsaw),"Three year position in an international project entitled ‘Electrophysiological Discharges of Neuronal Assemblies’ (ElectroDNA) funded in the European Lead Agency Procedure (Opus LAP grant) between Poland and Czech Republic, with a goal to decipher the code of human memories on the level of...",Gdańsk University of Technology,/jobs/360270,Computational_Neuroscience
"(Female Only Position) Faculty Position, Future University Hakodate, Hokkaido, Japan (Professor or Associate Professor, Center for Meta Learning)",Japan,29 May 2025,20 Aug 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project Future University Hakodate will celebrate its 25th anniversary in 2025. As part of this milestone, we aim to update our approach to systems information science based on the...",JREC-IN Portal,/jobs/348011,Cognitive_and_Systems_Neuroscience
Post-Doc for Deciphering the Neural Code for Space & Territoriality,Israel,27 May 2025,27 May 2026 - 16:16 (Asia/Jerusalem),"About our Campus: Hebrew University’s Edmond J. Safra Campus on Givat Ram is a vibrant hub of academic and research excellence nestled in the heart of Jerusalem. Our modern campus boasts state-of-the-art lab facilities, world-renowned faculty, and a stimulating environment that fosters scientific...",Hebrew University of Jerusalem,/jobs/347509,Cognitive_and_Systems_Neuroscience
"Postdoctoral fellow in psychology, with a focus on behavioral genetics",Sweden,20 May 2025,14 Aug 2025 - 22:00 (UTC),The University of Gothenburg tackles society’s challenges with diverse knowledge. 56 000 students and 6 600 employees make the university a large and inspiring place to work and study. Strong research and attractive study programmes attract researchers and students from around the world. With new...,Talentech,/jobs/345270,Cognitive_and_Systems_Neuroscience
"Postdoctoral fellow in psychology, with a focus on the science of learning",Sweden,20 May 2025,14 Aug 2025 - 22:00 (UTC),The University of Gothenburg tackles society’s challenges with diverse knowledge. 56 000 students and 6 600 employees make the university a large and inspiring place to work and study. Strong research and attractive study programmes attract researchers and students from around the world. With new...,Talentech,/jobs/345271,Cognitive_and_Systems_Neuroscience
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,28 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-4,Cognitive_and_Systems_Neuroscience
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,23 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-3,Cognitive_and_Systems_Neuroscience
Improving Computer Vision Models through Neural Signal Integration and Causal Inference (VINCI),France,18 April 2025,31 Aug 2025 - 23:00 (Europe/Paris),"Thesis supervisor : Adrien MERLINIThesis co-supervisors : Mai Quyen PHAM, Giulia LIOI, Javen SHI & Zhen ZHANGThesis co-supervised with The University of Adelaide, Australia Scientific Context:Artificial Intelligence (AI) has achieved remarkable progress in tasks traditionally requiring human...",IMT Atlantique,/jobs/337380,Cognitive_and_Systems_Neuroscience
"Research fellow, regulation of aging",Japan,17 April 2025,31 Aug 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project Rejuvenation and aging research are gaining significant attention in the fields of biotechnology and biomedical science, with increasing investment and development activity...",JREC-IN Portal,/jobs/336684,Cognitive_and_Systems_Neuroscience
Post-Doctoral Research Visit F/M Postdoctoral Position - Neural correlates of social interaction and its impact on performance in middle childhood,France,16 April 2025,30 Sep 2025 - 00:00 (UTC),"Social interaction among children is crucial for the proper development of social and cognitive skills, as well as for proper brain development. However, the topic of how children acquire the ability to form social bonds with their peers remains understudied and therefore poorly understood. One...",inria,/jobs/336235,Cognitive_and_Systems_Neuroscience
PhD candidate in AI and cognitive sciences,Luxembourg,10 April 2025,9 Apr 2026 - 04:11 (UTC),"About the FHSE The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Faculty of Humanities, Education and Social Sciences (FHSE) at the University of Luxembourg brings together expertise from the humanities...",University of Luxembourg,/jobs/334569,Cognitive_and_Systems_Neuroscience
Research Assistant in the Center for Interdisciplinary Data Science and Artificial Intelligence,United Arab Emirates,4 August 2025,3 Sep 2025 - 00:00 (UTC),"Description The Digital Heritage AI Project Cluster, housed within the newly established Center for Interdisciplinary Data Science at New York University Abu Dhabi, invites applications for a Research Assistant position. This is a unique opportunity to contribute to a pioneering research initiative...",Times Higher Education,/jobs/366329,Neural_Engineering
Postdoctoral Associate in the Center for Interdisciplinary Data Science and Artificial Intelligence,United Arab Emirates,4 August 2025,3 Sep 2025 - 00:00 (UTC),Description The Center for Interdisciplinary Data Science and Artificial Intelligence (CIDSAI) at NYU Abu Dhabi seeks to recruit a highly motivated researcher to work on topics in the theoretical foundations of data science and AI. The selected candidate will be part of the Foundations Cluster of...,Times Higher Education,/jobs/366331,Neural_Engineering
M/F Integration of an embedded AI algorithm in a medical device,France,2 August 2025,22 Aug 2025 - 23:59 (UTC),The Neural Code and Dynamics team at the Institut de l'Audition is developing a new medical device for restoring hearing through direct brain stimulation. This embedded device implements an artificial intelligence algorithm that processes auditory information in real time. We are looking for an...,CNRS - National Center for Scientific Research,/jobs/366264,Neural_Engineering
PhD Position F/M Conformal Prediction and Physics-Informed Machine Learning,France,2 August 2025,1 Sep 2025 - 00:00 (UTC),"This research project is funded by the ANR project MELISSA (MEthodological contributions in statistical Learning InSpired by SurfAce engineering). In MELISSA, members are conducting research in statistical machine learning, following the constraints, the physical background knowledge and the...",inria,/jobs/366187,Neural_Engineering
"Research Assistant position at the emergent Team “Ecological Cognition and Computation” at Inserm, Lyon",France,1 August 2025,31 Aug 2025 - 12:00 (Europe/Paris),"We are looking for a Research Manager for our emergent Team “Ecological Cognition and Computation” led by Dr Nils Kolling, which is strongly associated with the Team “Neurobiology of Executive functions”, both part of Inserm, Auvergne Rhône-Alpes. The primary aim of our team is understanding of how...",inserm,/jobs/366179,Neural_Engineering
PhD Student Scholarships,Cyprus,1 August 2025,10 Oct 2025 - 17:00 (Europe/Athens),"No. of Positions: Five (5) PositionsCategory: ScholarshipsLocation: University of Cyprus, Nicosia, Cyprus The KIOS Research and Innovation Center of Excellence (KIOS CoE) announces 5 full-time PhD Student Scholarships. The KIOS CoE operates within the University of Cyprus, in collaboration with...",University of Cyprus,/jobs/366135,Neural_Engineering
Postdoc: Hybrid Geospatial Modelling and Scenario Development of Biomass,Netherlands,1 August 2025,12 Sep 2025 - 21:59 (UTC),Join the faculty of Geosciences as a postdoctoral researcher! You will work on carbon turnover models and the fusion of data science forecasting methods with process-based models (hybrid modelling) to map soil and biomass carbon fluxes across Europe at high resolution.Your jobThis position is...,Utrecht University via AcademicTransfer,/jobs/365958,Neural_Engineering
PhD Scholarship Programme Vicente López: Researcher in Generative Multimodal World Modeling and Predictive Reasoning for Autonomous Robots,Spain,31 July 2025,15 Sep 2025 - 14:28 (Europe/Madrid),"Eurecat Robotics and Automation Unit specializes in pioneering research aimed at enabling intelligent robotic systems that can dynamically adapt and reliably operate within complex human-centric environments. With a multidisciplinary team of experts in artificial intelligence, robotics, and human...",EURECAT,/jobs/365862,Neural_Engineering
Research Assistant / Postdoctoral Researcher in Flexible Bioelectronics,Ireland,31 July 2025,14 Aug 2025 - 23:59 (Europe/Dublin),"Job Title: Research Assistant / Postdoctoral Researcher in Flexible BioelectronicsDepartment: Department of Anatomy and Regenerative MedicineReporting to: Dr Ian Woods & Prof Fergal O’BrienLocation: Tissue Engineering Research Group, Royal College of Surgeons in Ireland 123 St Stephens Green, Dublin...",RCSI - Royal College of Surgeons in Ireland,/jobs/365761,Neural_Engineering
PhD Position in Auditory Cognitive and Computational Neuroscience,Netherlands,31 July 2025,17 Aug 2025 - 21:59 (UTC),Join a cutting-edge project investigating how the brain and body dynamically engage with sound in real-world listening situations.Job DescriptionWe are looking for a motivated PhD candidate to join an interdisciplinary project investigating how the human brain and body adaptively engage with sound...,Maastricht University via AcademicTransfer,/jobs/365611,Neural_Engineering
PhD Position in Auditory Cognitive and Computational Neuroscience,Netherlands,31 July 2025,17 Aug 2025 - 21:59 (UTC),Join a cutting-edge project investigating how the brain and body dynamically engage with sound in real-world listening situations.Job DescriptionWe are looking for a motivated PhD candidate to join an interdisciplinary project investigating how the human brain and body adaptively engage with sound...,Maastricht University via AcademicTransfer,/jobs/365611,Neural_Decoding
PostDoc Fellowship: Robotic and Electrical Stimulation Platform for Integral Neuromuscular Enhancement (RE-SPINE),Netherlands,2 July 2025,21 Aug 2025 - 21:59 (UTC),Motor recovery after neuromuscular injuries is often sub-optimal. These limitations largely stem from current rehabilitation technologies operating with limited knowledge of pathology-specific neuromuscular characteristics and their response to prescribed treatments. Based on the technologies...,AcademicTransfer,/jobs/357429,Neural_Decoding
PostDoc Fellowship: Neural Control of Leg Exoskeletons Post Stroke.,Netherlands,27 June 2025,24 Aug 2025 - 21:59 (UTC),"Our mission is to restore natural gait patterns in individuals with motor impairment (due to stroke, spinal cord injury etc) through real-time neural control of wearable robotic exoskeletons. You will be developing next-generation (low and high-level) control algorithms for wearable exoskeletons...",AcademicTransfer,/jobs/356087,Neural_Decoding
Postdoctoral scholarship (2 years) within AI-driven plant genomics,Sweden,10 May 2025,1 Sep 2025 - 21:59 (UTC),Postdoctoral scholarship (2 years) within AI-driven plant genomics The Department of Plant Physiology is offering a postdoctoral scholarship within the project of AI-driven plant genomics. The scholarship is full-time for two years with access during the fall of 2025 or according to agreement.Umeå...,Umeå Stipendier,/jobs/342639,Neural_Decoding
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,28 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-4,Neural_Decoding
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,23 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-3,Neural_Decoding
Improving Computer Vision Models through Neural Signal Integration and Causal Inference (VINCI),France,18 April 2025,31 Aug 2025 - 23:00 (Europe/Paris),"Thesis supervisor : Adrien MERLINIThesis co-supervisors : Mai Quyen PHAM, Giulia LIOI, Javen SHI & Zhen ZHANGThesis co-supervised with The University of Adelaide, Australia Scientific Context:Artificial Intelligence (AI) has achieved remarkable progress in tasks traditionally requiring human...",IMT Atlantique,/jobs/337380,Neural_Decoding
PostDoc Fellowship: Robotic and Electrical Stimulation Platform for Integral Neuromuscular Enhancement (RE-SPINE),Netherlands,2 July 2025,21 Aug 2025 - 21:59 (UTC),Motor recovery after neuromuscular injuries is often sub-optimal. These limitations largely stem from current rehabilitation technologies operating with limited knowledge of pathology-specific neuromuscular characteristics and their response to prescribed treatments. Based on the technologies...,AcademicTransfer,/jobs/357429,Neural_Signal_Processing
PhD on Neuromorphic-photonics-assisted front-end for edge computing – SpikeHERO project,Netherlands,28 June 2025,10 Aug 2025 - 21:59 (UTC),"The Photonic Neural Network Lab, together with the High Capacity Optical Transmission Lab’s in the Electro-Optics Communication (ECO) group at Eindhoven University of Technology (TU/e) are recruiting a PhD candidate to research novel neuromorphic-photonics-assisted front-ends for edge computing.The...",AcademicTransfer,/jobs/356496,Neural_Signal_Processing
PostDoc Fellowship: Neural Control of Leg Exoskeletons Post Stroke.,Netherlands,27 June 2025,24 Aug 2025 - 21:59 (UTC),"Our mission is to restore natural gait patterns in individuals with motor impairment (due to stroke, spinal cord injury etc) through real-time neural control of wearable robotic exoskeletons. You will be developing next-generation (low and high-level) control algorithms for wearable exoskeletons...",AcademicTransfer,/jobs/356087,Neural_Signal_Processing
PhD in Efficient hardware implementations of networks with intra-layer heterogeneous quantization - TIMA,France,26 June 2025,18 Aug 2025 - 20:00 (Europe/Paris),"Usual digital neural networks consist of large amounts of matrix-vector of matrix-matrix multiplication operations. Thus, the design of dedicated hardware acceleration circuits for digital neural networks mostly focuses on accelerating these matrix operations. The involved matrices are often...",Grenoble INP - Institute of Engineering,/jobs/355873,Neural_Signal_Processing
Post-doctoral fellow in Nonlinear optical Fiber Communication,France,26 June 2025,30 Sep 2025 - 00:00 (Europe/Berlin),"Who we are ?Télécom Paris, part of the IMT (Institut Mines-Télécom) and a founding member of the Institut Polytechnique de Paris, is one of France's top 5 general engineering schools.The mainspring of Télécom Paris is to train, imagine and undertake to design digital models, technologies and...",Télécom Paris,/jobs/355831,Neural_Signal_Processing
Post-Doctoral Fellow in Embryonic Development of the Spinal Cord and Peripheral Nervous System,Israel,26 June 2025,26 Oct 2026 - 12:32 (Asia/Jerusalem),"About our Campus: The Ein Kerem campus of the Hebrew University, established in 1960, is in southwestern Jerusalem. This campus hosts the Faculty of Medicine and the School of Dentistry, located next to Hadassah Hospital, one of the city’s main medical centers. It also is also home to other...",Hebrew University of Jerusalem,/jobs/355779,Neural_Signal_Processing
Postdoctoral fellow in Computer Vision and Machine Learning,Sweden,25 June 2025,17 Aug 2025 - 22:00 (UTC),"This multidisciplinary position is part of a WASP NEST (Novelty, Excellence, Synergy, Teams) project focused on advancing generative models and perceptual understanding in computer vision. The position is embedded in a vibrant research environment that includes several PhD students and postdoctoral...",Talentech,/jobs/355045,Neural_Signal_Processing
Postdoctoral fellowship - Artificial Intelligence and Mobility: Gait Mode Classification via Deep  Learning to Enhance Robotic Assistance and Inclusion of People with Disabilities,France,19 June 2025,15 Sep 2025 - 18:00 (Europe/Paris),"We invite applications for a 24-month postdoctoral research position within the framework of the ERASME program, which supports socially engaged science. The project focuses on improving mobility, autonomy, and rehabilitation outcomes for individuals with motor impairments, particularly post-stroke...",Université Paris Est Créteil,/jobs/354007,Neural_Signal_Processing
Hardware-aware embedded AI for innovative healthcare applications,Belgium,19 June 2025,1 Oct 2025 - 23:59 (UTC),Hardware-aware embedded AI for innovative healthcare applications,KU Leuven,/jobs/353818,Neural_Signal_Processing
Group Leader,Poland,6 June 2025,18 Aug 2025 - 23:59 (Europe/Warsaw),The Nencki Institute invites candidates for the Group Leader positionsThe Nencki Institute of Experimental Biology of the Polish Academy of Sciences in Warsaw seeks to appoint group leaders to develop ambitious and innovative research programs. We are looking for dynamic and highly motivated...,Nencki Institute of Experimental Biology,/jobs/350696,Neural_Signal_Processing
"Postdoctoral Researcher, Nanoelectronics",Finland,2 August 2025,31 Aug 2025 - 20:59 (UTC),Are you interested in nanoelectronics and neuromorphic computing and looking for a postdoctoral opportunity in the field? Would you like to develop innovative technology with superb colleagues who are top experts in their field? Do you want to build an excellent science career and work at the...,Academic Positions,/jobs/366273,Neuromorphic_Computing
Postdoctoral Research Fellows in Computational Linguistics,Australia,1 August 2025,20 Aug 2025 - 00:00 (UTC),1 x Part-Time (28 hours per week) Position for 2 years with an emphasis on data modelling and corpus-based investigations* 1 x Part-Time (28 hours per week) Position for 1 year with an emphasis on international online and lab-based data collection + large dataset management Both positions will be...,Times Higher Education,/jobs/365994,Neuromorphic_Computing
"Postdoctoral Research Fellow in Cognitive Neuroscience, The MARCS Institute for Brain",Australia,30 July 2025,13 Aug 2025 - 00:00 (UTC),"Postdoctoral Research Fellow in Cognitive Neuroscience, The MARCS Institute for Brain, Behaviour and Development Full-Time, Fixed-Term Position for 2.5 Years Based at Westmead Innovation Quarter $112,718 to $136,180 p.a. Inclusive of Superannuation + Leave Loading About Western and The MARCS...",Times Higher Education,/jobs/365336,Neuromorphic_Computing
Postdoc position for 2 years.,Netherlands,22 July 2025,30 Sep 2025 - 21:59 (UTC),"Job descriptionTo bring computing power to the edge and to make the cloud sustainable, various paradigms for energy-efficient computing are emerging. These paradigms, for example neuromorphic, wave-based, probabilistic, and in-memory computing, are based on a wide variety of physical processes...",Academic Positions,/jobs/362939,Neuromorphic_Computing
2 Postdoctoral Positions at IFISC (CSIC-UIB),Spain,21 July 2025,1 Sep 2025 - 20:00 (Europe/Madrid),"Location: Palma de Mallorca, Spain Institution: Institute for Cross-Disciplinary Physics and Complex Systems (IFISC, CSIC-UIB) Application Deadline: [1 September 2025] Start Date: [November 2025]The Institute for Cross-Disciplinary Physics and Complex Systems (IFISC) invites applications for two...",Institute for Cross-Disciplinary Physics and Complex Systems (IFISC),/jobs/362695,Neuromorphic_Computing
Postdoc position for 2 years.,Netherlands,19 July 2025,30 Sep 2025 - 21:59 (UTC),"To bring computing power to the edge and to make the cloud sustainable, various paradigms for energy-efficient computing are emerging. These paradigms, for example neuromorphic, wave-based, probabilistic, and in-memory computing, are based on a wide variety of physical processes, materials...",AcademicTransfer,/jobs/362537,Neuromorphic_Computing
PhD on the topic: Formal Verification for Approximate In-Memory Computing,Germany,18 July 2025,15 Aug 2025 - 23:59 (Europe/Berlin),"The REACT MSCA DN Project: Self-awareness in humans is an innate capability, arising from the brain’s ability to process a multitude of sensory inputs. Emulating this functionality in electronic systems—commonly referred to as neuromorphic computing—holds the potential to create highly intelligent...",University of Bremen,/jobs/362471,Neuromorphic_Computing
Ph.D. Thesis (M/F): Chip-in-the-loop Training of Spintronic Neural Networks,France,18 July 2025,7 Aug 2025 - 23:59 (UTC),"The work will be carried out at the Albert Fert Laboratory, in the ""Neuromorphic Physics"" team exploring the use of nanodevices and their multiple functionalities for bio-inspired computing. The team includes two permanent CNRS researchers, two Thales researchers, 4 post-docs, and 4 PhD students...",CNRS - National Center for Scientific Research,/jobs/362292,Neuromorphic_Computing
PhD Thesis: Training Bosonic Quantum Neural Networks with Equilibrium Propagation (M/F),France,18 July 2025,7 Aug 2025 - 23:59 (UTC),"The PhD project is part of the ERC project QDYNNET – Quantum Dynamical Neural Networks, led by Danijela Marković. The selected candidate will join the neuromorphic computing team at the Albert Fert Laboratory, CNRS, Thales, Université Paris-Saclay. They will work in close collaboration with two...",CNRS - National Center for Scientific Research,/jobs/362294,Neuromorphic_Computing
Doctoral student in Neuromorphic Computing in Memristors,Sweden,8 July 2025,28 Aug 2025 - 21:59 (UTC),"Project descriptionThird-cycle subject: Electrical EngineeringAs part of the Marie Curie ITN project REACT, KTH will focus on developing a memristor-based neuromorphic architecture, with particular emphasis on the BCPNN model pioneered at KTH. Other neuromorphic models will also be investigated. The...",Academic Positions,/jobs/359199,Neuromorphic_Computing
Seeking a Postdoctoral Researcher or Research & Development Scientist (25-524)(Transcriptome-Epigenome Research Team),Japan,12 June 2025,18 Aug 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project Our laboratory utilizes state-of-the-art technologies—including gene expression analysis, epigenomic and 3D genome analysis—to generate multilayered genomic insights from...",JREC-IN Portal,/jobs/351883,Computational_Neuroscience
Applicants for Kwansei Gakuin University Postdoctoral Fellowship,Japan,12 June 2025,27 Aug 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project The Graduate School of Science and Technology, Kwansei Gakuin University is recruiting three postdoctoral researchers to be hired on April 1, 2026. [Work content and job...",JREC-IN Portal,/jobs/351793,Computational_Neuroscience
"[Female only] Seeking a few Senior Research Scientists, Research Scientists, Postdoctoral Researchers, or Research Associates (25-508)（RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences）",Japan,12 June 2025,4 Jun 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences (iTHEMS) is an international research center at RIKEN. It facilitates close collaborations among...,JREC-IN Portal,/jobs/351837,Computational_Neuroscience
Research Scientist or Postdoctoral Researcher Position (25-597) (Laboratory for Neural Computation and Adaptation),Japan,12 June 2025,6 Jun 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project [Outline of Laboratory] Our research is within the field of Computational Neuroscience. We utilize computer models to explore how information is processed in the brain and...,JREC-IN Portal,/jobs/351861,Computational_Neuroscience
