title,location,posted_on,deadline,details,institute,link,keyword
PhD Position F/M Fine-Grained Analysis of Android Application Behavior and Identification of Involved Actors,France,17 July 2025,16 Aug 2025 - 00:00 (UTC),"Android applications are highly sophisticated programs where many activities can occur in the background. Analyzing an application may reveal the presence of third-party libraries, but it is often difficult to fully understand what they do. Only by precisely analyzing what runs on a smartphone and...",inria,/jobs/361792,Behavioral_Data_Science
Tenure-track group leader in Computational Neuroscience,France,17 July 2025,30 Sep 2025 - 23:00 (UTC),"The Neurocenter Magendie is a behavioral neuroscience institute including 11 teams dedicated to the study of brain functions in health and disease. We are seeking a high profile, dynamic and innovative researcher to integrate our community. The ideal candidate will possess deep expertise in the...",jobRxiv,/jobs/361802,Behavioral_Data_Science
GCZSC - Postdoc in Field-Based Boron and Potassium Biogeochemistry,Morocco,17 July 2025,15 Aug 2025 - 00:00 (UTC),"Area of specialization: Critical Zone is the “heterogeneous, near-surface environment in which complex interactions involving rock, soil, water, air, and living organisms regulate the natural habitat and determine availability of life-sustaining resources”. Its limits range from the top of the...",Times Higher Education,/jobs/361857,Behavioral_Data_Science
Analysis of Tire Wear and Emission Mechanisms Through Experimental Characterization and Modeling of the Tire/Road Contact: Influence of Pavement Texture on Particle Generation,France,16 July 2025,5 Sep 2025 - 17:00 (Europe/Paris),"Supervisory Team: Université Gustave Eiffel: Bogdan Muresan-Paslaru, Malal Kane, Manuela Gennesseaux TH Köln: Danka Katrakova-Krüger This thesis focuses on understanding the fundamental mechanisms of tire wear and non-exhaust particle emission generation. Using a combination of experimental...",Université Gustave Eiffel,/jobs/361751,Behavioral_Data_Science
Post-Doctoral Fellowship in Applied Artificial Intelligence / Computer Vision,Brazil,16 July 2025,11 Aug 2025 - 23:59 (UTC),"This call is for one (1) post-doctoral fellowship in Machine Learning, funded by the São Paulo Research Foundation (FAPESP), within the scope of the Advanced Research Center on Artificial Intelligence Recreating Environments (IARA), which is an ARC jointly supported by FAPESP, the Brazilian Ministry...","FAPESP, SAO PAULO RESEARCH FOUNDATION",/jobs/361440,Behavioral_Data_Science
PhD in Smart e-Mobility Economics from User Perspective,Luxembourg,25 July 2025,24 Jul 2026 - 03:15 (UTC),"About us... The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Interdisciplinary Centre for Security, Reliability and Trust (SnT) at the University of Luxembourg is a leading international research and innovation...",University of Luxembourg,/jobs/364131,Behavioral_Data_Science
PhD in Smart e-Mobility Economics from User Perspective,Luxembourg,25 July 2025,24 Jul 2026 - 03:23 (UTC),"About us... The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Interdisciplinary Centre for Security, Reliability and Trust (SnT) at the University of Luxembourg is a leading international research and innovation...",University of Luxembourg,/jobs/364132,Behavioral_Data_Science
PhD in Smart e-Mobility Economics from User Perspective,Luxembourg,25 July 2025,24 Jul 2026 - 03:20 (UTC),"About us... The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Interdisciplinary Centre for Security, Reliability and Trust (SnT) at the University of Luxembourg is a leading international research and innovation...",University of Luxembourg,/jobs/364133,Behavioral_Data_Science
Wearable technology for behavioral monitoring in pediatric cancer – A digital biopsychosocial approach to expand and personalize care for improved health and qu,Belgium,25 July 2025,31 Aug 2025 - 23:59 (UTC),"Is technology your passion? Are you looking for a challenging position? Do you want to help children, adolescents and young adults (AYAs) diagnosed with cancer? Then you are the person we are looking for. Join our research group as a PhD student and fuse these interests to become a future leader in...",KU Leuven,/jobs/364140,Behavioral_Data_Science
PhD Position on socio-economic effects of climate tipping points,Netherlands,25 July 2025,30 Aug 2025 - 21:59 (UTC),"As part of the EMBRACER project, you will use advanced models integrating our climate system to human behaviour to study potential scenarios of what could happen to Europe if the Atlantic Meridional Overturning Circulation weakens or tips.Your jobAs climate change is unfolding at an accelerating...",Utrecht University via AcademicTransfer,/jobs/364110,Behavioral_Data_Science
PhD Position on Firms Expectations & Systemic Risk in Climate-Prone Regional Economies,Netherlands,25 July 2025,7 Sep 2025 - 21:59 (UTC),Join our ERC SPHINX Team to model how climate risks cascade through regional economies. Help uncover when businesses shift investment due to climate risks. Help shaping climate resilient policies!Job descriptionThis 4-year fully funded PhD position is part of the ERC Consolidator project “Systemic...,Delft University of Technology via AcademicTransfer,/jobs/364116,Behavioral_Data_Science
PhD Position on Systemic Risk in Climate-Sensitive Housing Markets,Netherlands,25 July 2025,15 Sep 2025 - 21:59 (UTC),Join our ERC SPHINX Team to model how climate risks ripple through housing markets. Help uncover when homes become stranded assets and fuel systemic impacts. Help shaping climate resilient policies!Job descriptionThis 4-year fully funded PhD position is part of the ERC Consolidator project “Systemic...,Delft University of Technology via AcademicTransfer,/jobs/364117,Behavioral_Data_Science
Backend Engineer for Robotics (30259151182),Spain,24 July 2025,1 Sep 2025 - 23:00 (Europe/Madrid),"Mission:Design, build and maintain the core backend services for an innovative robotics platform that helps seniors in their homes.Functions to be developed:Design, implement and maintain backend services that interact with ROS-based robotic platforms, Android-based applications.Manage data storage...",Universitat Politècnica de Catalunya (UPC)- BarcelonaTECH,/jobs/364101,Behavioral_Data_Science
postdoctoral researcher,Japan,24 July 2025,30 Sep 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project Our research division is developing novel glass materials with a focus on mechanical properties, crystallization behavior, and optical functionality, under the JSPS Grant-in...",JREC-IN Portal,/jobs/363660,Behavioral_Data_Science
"Niigata University ‘Swing-by’ Program for Fostering Young Faculty Members (Recruitment and Training Program for Young Faculty Members) Call for applications for /Assistant Professors in Brain Research Institute, Niigata University",Japan,24 July 2025,20 Aug 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project Niigata University is implementing the ""Niigata University Young Faculty Swing-by Program,"" a program for the collective recruitment and training of young faculty members...",JREC-IN Portal,/jobs/363735,Behavioral_Data_Science
Assistant Professor in Neuroscience and Biomedical Engineering,Finland,13 June 2025,18 Aug 2025 - 00:00 (UTC),"Aalto University is where science and art meet technology and business. We shape a sustainable future by making research breakthroughs in and across our disciplines, sparking the game changers of tomorrow and creating novel solutions to major global challenges. Our community is made up of 120...",Times Higher Education,/jobs/352371,Behavioral_Data_Science
Postdoc in Economics,Denmark,12 June 2025,19 Sep 2025 - 23:59 (Europe/Copenhagen),"Copenhagen Business School invites applications for a vacant Postdoc in Economics at the Department of Economics.The Department of Economics provides research, teaching and knowledge transfer within the core areas of economics, i.e. microeconomics, macroeconomics, and quantitative methods. The...",Copenhagen Business School,/jobs/352065,Behavioral_Data_Science
"[Female only] Seeking a few Senior Research Scientists, Research Scientists, Postdoctoral Researchers, or Research Associates (25-508)（RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences）",Japan,12 June 2025,4 Jun 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences (iTHEMS) is an international research center at RIKEN. It facilitates close collaborations among...,JREC-IN Portal,/jobs/351837,Behavioral_Data_Science
Research Scientist or Postdoctoral Researcher Position (25-597) (Laboratory for Neural Computation and Adaptation),Japan,12 June 2025,6 Jun 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project [Outline of Laboratory] Our research is within the field of Computational Neuroscience. We utilize computer models to explore how information is processed in the brain and...,JREC-IN Portal,/jobs/351861,Behavioral_Data_Science
Postdoc position in Structural Engineering,Sweden,11 June 2025,9 Aug 2025 - 22:00 (UTC),"Luleå University of Technology is in strong growth with world-leading competence in several research areas. We shape the future through innovative education and ground-breaking research results, and based on the Arctic region, we create global social benefit. Our scientific and artistic research and...",Talentech,/jobs/351422,Behavioral_Data_Science
Assistant / Associate Professor (Tenure track) in Strategic Management,Finland,10 June 2025,12 Sep 2025 - 00:00 (UTC),"Aalto University is where science and art meet technology and business. We shape a sustainable future by making research breakthroughs in and across our disciplines, sparking the game changers of tomorrow and creating novel solutions to major global challenges. Our community is made up of 13 000...",Times Higher Education,/jobs/351198,Behavioral_Data_Science
Master's thesis/Internship in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for master's theses/internship positions focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350949,Behavioral_Data_Science
PhD position in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for a PhD position or internship focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is driving a...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350948,Behavioral_Data_Science
Postdoc position in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for a postdoctoral position or internship focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350944,Behavioral_Data_Science
Postdoctoral researcher in criminology,Sweden,7 June 2025,11 Aug 2025 - 21:59 (UTC),"We are seeking a postdoctoral researcher in criminology for a fixed-term position at the School of Behavioural, Social and Legal Sciences.Subject areaThe subject area of the position is criminology.BackgroundThe School of Behavioural, Social and Legal Sciences (BSR) offers education at the...",Academic Positions,/jobs/350897,Behavioral_Data_Science
PhD - Automated home assessment of movement disorders in children with DCP (QUO VADYS),Belgium,26 June 2025,10 Aug 2025 - 23:59 (UTC),Measure at home and treat better to make a difference to the lives of children and young adults with dyskinetic cerebral palsy.,KU Leuven,/jobs/355457,Machine_Learning_for_Neuroscience
Postdoc (M/F): modeling/simulation in developmental neurobiology,France,25 June 2025,2 Sep 2025 - 00:00 (UTC),"As part of an ANR project involving the advanced tissue microscopy team at the Optics and Biosciences Laboratory (LOB) at École Polytechnique and the neurogenesis and circuit development group at the Institut de la Vision (IDV), we are looking for a post-doctoral researcher to work on the computer...",CNRS - National Center for Scientific Research,/jobs/355169,Machine_Learning_for_Neuroscience
Postdoctoral Fellowship (2 years) in research project on biomarkers for cognitive aging,Sweden,21 June 2025,15 Aug 2025 - 21:59 (UTC),"Postdoctoral Fellowship (2 years) in research project on biomarkers for cognitive agingDepartment Information The Department of Psychology at Umeå University offers a postdoctoral fellowship within the project ""Longitudinal Profiling of the Aging Plasma Proteome to Identify Risk Profiles for...",Umeå Stipendier,/jobs/354451,Machine_Learning_for_Neuroscience
One Postdoctoral position on multimodal and generative AI models for scene understanding,Italy,12 June 2025,31 Oct 2025 - 00:00 (UTC),"Commitment & contract: collaboration contract, 12 months (renewable) Location: Genova, via Enrico Melen 83 Step into a world of endless possibilities, together let’s leave something for the future! At IIT, we are committed to advancing human-centered Science and Technology to address the most urgent...",ISTITUTO ITALIANO DI TECNOLOGIA,/jobs/351937,Machine_Learning_for_Neuroscience
"[Female only] Seeking a few Senior Research Scientists, Research Scientists, Postdoctoral Researchers, or Research Associates (25-508)（RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences）",Japan,12 June 2025,4 Jun 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences (iTHEMS) is an international research center at RIKEN. It facilitates close collaborations among...,JREC-IN Portal,/jobs/351837,Machine_Learning_for_Neuroscience
PhD-student: Computing and Learning with Material Bits,Netherlands,11 June 2025,7 Dec 2025 - 13:50 (UTC),"Work ActivitiesWe are seeking a motivated PhD - student to join our team working on the theory of computing and learning in physical systems, as part of a joint theoretical/experimental program on Smart Materials for Information Processing.With increasing demands on computing and its accompanying...",AcademicTransfer,/jobs/351434,Machine_Learning_for_Neuroscience
Master's thesis/Internship in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for master's theses/internship positions focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350949,Machine_Learning_for_Neuroscience
PhD position in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for a PhD position or internship focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is driving a...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350948,Machine_Learning_for_Neuroscience
Postdoc position in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for a postdoctoral position or internship focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350944,Machine_Learning_for_Neuroscience
PhD position in Deep Learning applied to Animal Behavior,Germany,4 June 2025,30 Sep 2025 - 16:20 (Africa/Abidjan),"Fully funded Ph.D. Position (m/f/d) in Deep Learning applied to Animal BehaviorInstitution/Department: Lamarr - Institute for Machine Learning and Artificial Intelligence &Department of Information Systems and Artificial Intelligence, University of BonnLocation: Bonn, GermanyStarting Date: from...",Data Science of Bioimages,/jobs/349479,Machine_Learning_for_Neuroscience
Postdoctoral researcher: avian microbiomes and reproduction - NIOO-KNAW - Wageningen,Netherlands,24 July 2025,12 Sep 2025 - 21:59 (UTC),"All animals host microbial communities in and on their bodies, and recent studies have shown that variation in these microbiomes can have major impacts on their hosts, including effects on digestion, development, immunity, and behaviour. Indeed, microbiomes are emerging as fundamental modulators of...",AcademicTransfer,/jobs/363770,Behavioral_Data_Science
Research Fellow - Coastal and Rural Mental Health,United Kingdom,24 July 2025,17 Aug 2025 - 00:00 (UTC),ABOUT THE PROJECT The Coastal and Rural Mental Health Realist Study (CARMHRS) is a 28-month project exploring the ways that people who live in coastal and rural areas look after their mental health and how local mental health services are helping them. Mental health services in remote coastal and...,Times Higher Education,/jobs/363822,Behavioral_Data_Science
assistant or assistant professor*,Poland,23 July 2025,7 Aug 2025 - 23:59 (Europe/Warsaw),* According to the assessment of candidate qualification the Commission may recommend her/his employment in an assistant or assistant professor position.The current research program of the Laboratory of Molecular Basis of Neurodegeneration:cellular and molecular mechanisms responsible for the...,"Mossakowski Medical Research Institute, Polish Academy of Sciences",/jobs/363611,Behavioral_Data_Science
PhD Candidate - Artificial intelligence for Earth monitoring,Italy,23 July 2025,22 Aug 2025 - 23:59 (Europe/Rome),"The recent Earth Observation missions like (ESA Copernicus – Sentinels, ASI PRISMA and COSMO-SkyMed, and future IRIDE constellation) make available databases of long, dense and worldwide image time series. The data have complex spatio-spectro-temporal behaviors and variability, and they show...",Fondazione Bruno Kessler,/jobs/363581,Behavioral_Data_Science
Call for Research Grant Assignment 1114921,Portugal,23 July 2025,22 Aug 2025 - 23:59 (Europe/Lisbon),"Call for Research Grant AssignmentThe University of Coimbra opens a call for the assignment of a research grant, with 1 position(s), under the project 2022.07652.PTDC, title Screen Media Use Trajectories, Inequalities, and Long-Term Effects on Children’s Obesity and Mental Health.The call is...",Universidade de Coimbra,/jobs/363578,Behavioral_Data_Science
Assistant (post-doc) - Department of Neurobiology (Opus 28) IP PAS,Poland,23 July 2025,12 Aug 2025 - 23:59 (Europe/Warsaw),"Candidate for the position of Assistant (post-doc) at the Department of Neurobiology IP PAS (Opus 28 grant), Maj Institute of Pharmacology, Polish Academy of Sciences. Maj Institute of Pharmacology Polish Academy of Sciences (further called Institute or IP PAS) announces a competition for the...",Institute of Pharmacology Polish Academy of Sciences,/jobs/363559,Behavioral_Data_Science
"PhD Full-time position ""Hiking and children's socialization in the mountains"" (M/F)",France,23 July 2025,12 Aug 2025 - 23:59 (UTC),"Full-time position for 36 months Based at the Pacte laboratory, CNRS, Université Grenoble Alpes, Sciences po Grenoble-UGA. The PhD student will be co-supervised by Julien Bertrand (MCF HDR, Université Grenoble Alpes) and Clémence Perrin-Malterre (MCF HDR, Université de Savoie Mont-Blanc, EDYTEM)...",CNRS - National Center for Scientific Research,/jobs/363383,Behavioral_Data_Science
"Lecturer, Lingnan Institute of Further Education",Hong Kong,23 July 2025,21 Aug 2025 - 00:00 (UTC),Lingnan University is one of the eight publicly funded institutions in the Hong Kong Special Administrative Region (HKSAR) and has the longest established tradition among the local institutions of higher education. It is widely recognised for providing quality education with a focus on whole-person...,Times Higher Education,/jobs/363339,Behavioral_Data_Science
Assistant Researcher in Operations and Data Science | 2023.15056.TENURE.067,Portugal,22 July 2025,14 Aug 2025 - 17:00 (Europe/Lisbon),"FrameworkThe Rector of the Universidade Católica Portuguesa, Prof. Dr. Isabel Capeloa Gil, hereby announces the opening of an international call for applications for one vacancy of doctoral researcher auxiliar, with an exclusivity clause, to perform duties of scientific research, in the scientific...",Universidade Católica Portuguesa - CATÓLICA-LISBON,/jobs/363113,Behavioral_Data_Science
Research Grant  UID/00730 -  (CINEICC) - L 1098181,Portugal,22 July 2025,7 Aug 2025 - 23:59 (Europe/London),"Call for Research Grant Assignment The University of Coimbra opens a call for the assignment of a research grant, with one position(s), under the project UID/00730 - Center for Research in Neuropsychology and Cognitive and Behavioral Intervention (CINEICC). The call is governed by this Notice of...",Universidade de Coimbra,/jobs/363089,Behavioral_Data_Science
Ethics and Compliance officer of the Institutional Review Board,Belgium,8 July 2025,15 Sep 2025 - 01:36 (Europe/Brussels),"Institutional Review Board & Quality Assurance UnitIntroductionThe Institute of Tropical Medicine (ITM) strives to advance science and health for all, through innovative research, advanced education, capacity-building and capacity-sharing with partner institutions in Africa, Asia and Latin America...",Institute of Tropical Medicine (ITM),/jobs/359323,Behavioral_Data_Science
Professor of Animal Welfare at the career level of Assistant Professor,Estonia,8 July 2025,15 Sep 2025 - 23:23 (Europe/Tallinn),"Duties and responsibilitiesTo carry out international education, research, and development activities in animal nutrition, with a particular emphasis on animal welfare. Supervising Bachelor’s, Master’s, and PhD projects. Curriculum development: Animal Welfare Master’s programme, and further...",Estonian University of Life Sciences,/jobs/359317,Behavioral_Data_Science
Post-Doctorant,France,8 July 2025,30 Sep 2025 - 00:00 (Europe/Paris),"CONTEXTAre you an early-career cognitive neuroscientist, looking to contribute to a new line of research? The Paris Brain Institute is seeking a postdoctoral researcher to join The Frontlab team (“the prefrontal cortex as a critical hub for higher cognitive functions: from health to disease »). For...",Institut du Cerveau et de la Moelle épinière,/jobs/359287,Behavioral_Data_Science
Researcher in Economics of Animal Health,Norway,8 July 2025,15 Aug 2025 - 23:59 (Europe/Oslo),"About the positionWe are looking for a colleague who sees numbers not just as numbers, but as tools to understand, improve, and manage complex systems. At the Norwegian Veterinary Institute, you will apply economic analysis to explore how good animal health and welfare create value across sectors...",Norwegian Veterinary Institute,/jobs/359224,Behavioral_Data_Science
PhD student position in Neuro-symbolic AI,Sweden,8 July 2025,30 Aug 2025 - 22:00 (UTC),Looking for your next challenge? Become a part of a team that’s driving change and innovation every day. This PhD position is part of the WASP-WISE NEST project RAM³ – a multidisciplinary research effort at the intersection of machine learning and applied mechanics. The focus of this position is on...,Talentech,/jobs/359048,Behavioral_Data_Science
PhD Position Symbolic AI and Reasoning Under Uncertainty,Netherlands,8 July 2025,31 Aug 2025 - 21:59 (UTC),Challenge: Confident and robust decision-making under uncertaintyChange: Leverage combinatorial and algorithmic methods for sensitivity analysisImpact: Enable confident and robust decision-making Modern decision-making increasingly relies on algorithms that provide recommendations based on models of...,Delft University of Technology via AcademicTransfer,/jobs/359053,Behavioral_Data_Science
PhD Position Data-Driven Health Monitoring of Floating Wind Turbines,Netherlands,8 July 2025,31 Aug 2025 - 21:59 (UTC),"As pioneers in the field of wind energy, wave tank testing and control, we are looking for an ambitious PhD candidate to join our research group on the following topicJob descriptionWe are seeking a motivated researcher to join our team in advancing innovative approaches for mitigating wake...",Delft University of Technology via AcademicTransfer,/jobs/359055,Behavioral_Data_Science
Postdoc AI-Powered Maritime Systems Optimization,Netherlands,8 July 2025,10 Aug 2025 - 21:59 (UTC),"Challenge: Managing one of the world’s busiest maritime corridors while integrating offshore renewable energy.Change: Leveraging AI to support safer, smarter, and more sustainable maritime operations.Impact: Future-proofing critical North Sea infrastructure and navigation.Job descriptionThe North...",Delft University of Technology via AcademicTransfer,/jobs/359063,Behavioral_Data_Science
PIONEER-TOPIC#2025: On-Emergency Demand: A New Mobility Service Enhancing Accessibility During Crisis Situations,France,7 July 2025,24 Aug 2025 - 00:00 (Europe/Paris),"In the face of increasingly frequent and complex crises, ranging from natural disasters to infrastructure breakdowns and pandemics, ensuring accessible and adaptable mobility services is a growing priority for urban transport systems. This PhD research, conducted in collaboration between Université...",Université Gustave Eiffel,/jobs/358962,Behavioral_Data_Science
MSCA PF hosting - postdoctoral opportunity in social or biomedical data science and network science,Hungary,7 July 2025,15 October 2025,Research Team: The Human & Social Data Science Lab (HSDSLab) is a group of researchers at the Budapest University of Technology and Economics led by Dr Roland Molontay. HSDSLab conducts both methodology oriented basic research in data and network science and applied research with a human-centered...,Budapest University of Technology and Economics,/jobs/hosting/msca-pf-hosting-postdoctoral-opportunity-social-or-biomedical-data-science-and-network,Behavioral_Data_Science
Postdoctoral Researcher in Modeling Anthropometric Variability Using Deep Machine Learning,Sweden,29 May 2025,31 Aug 2025 - 22:00 (UTC),"We are looking for a postdoctoral researcher to join our international team at the forefront of human body modeling for injury prediction. In this project, you will apply state-of-the-art Artificial Intelligence (AI) and Machine Learning (ML) techniques to medical imaging data to develop statistical...",Talentech,/jobs/347944,Behavioral_Data_Science
Seeking a few Research Scientists or Postdoctoral Researchers (W25015)（Mathematical Social Science Team）,Japan,29 May 2025,22 May 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project RIKEN Center for Interdisciplinary Theoretical and Mathematical Sciences (iTHEMS) promotes interdisciplinary collaborations and the creation of new interdisciplinary fields...,JREC-IN Portal,/jobs/348039,Behavioral_Data_Science
Etude expérimentale et numérique du refroidissement et du stockage de la châtaigne : lien entre l'itinéraire thermique et la qualité // Experimental and numerical study of chestnut cooling and storage: link between thermal itinerary and quality evolution,France,28 May 2025,31 Aug 2025 - 22:00 (UTC),"La FAO estime que chaque année, environ un tiers de tous les aliments produits dans le monde pour la consommation humaine sont perdus ou gaspillés avec de grands effets économiques, sociaux et environnementaux. La châtaigneraie fruitière française est un marqueur de l'identité, des paysages et de l...",ABG  - Association Bernard Gregory,/jobs/347633,Behavioral_Data_Science
Post-Doc for Deciphering the Neural Code for Space & Territoriality,Israel,27 May 2025,27 May 2026 - 16:16 (Asia/Jerusalem),"About our Campus: Hebrew University’s Edmond J. Safra Campus on Givat Ram is a vibrant hub of academic and research excellence nestled in the heart of Jerusalem. Our modern campus boasts state-of-the-art lab facilities, world-renowned faculty, and a stimulating environment that fosters scientific...",Hebrew University of Jerusalem,/jobs/347509,Behavioral_Data_Science
Post-Doc in Translational Social Cognitive and Affective Neuroscience of Pain and Emotions,Israel,27 May 2025,27 May 2026 - 15:31 (Asia/Jerusalem),"About our Campus: The Ein Kerem campus of the Hebrew University, established in 1960, is in southwestern Jerusalem. This campus hosts the Faculty of Medicine and the School of Dentistry, located next to Hadassah Hospital, one of the city’s main medical centers. It also is also home to other...",Hebrew University of Jerusalem,/jobs/347494,Behavioral_Data_Science
PhD for translational Social Cognitive and Affective Neuroscience of Pain and Emotions,Israel,27 May 2025,27 May 2026 - 15:23 (Asia/Jerusalem),"About our Campus: The Ein Kerem campus of the Hebrew University, established in 1960, is in southwestern Jerusalem. This campus hosts the Faculty of Medicine and the School of Dentistry, located next to Hadassah Hospital, one of the city’s main medical centers. It also is also home to other...",Hebrew University of Jerusalem,/jobs/347492,Behavioral_Data_Science
MSCA – Postdoctoral Fellowship in Organic Chemistry (Liquid Crystal),Türkiye,27 May 2025,10 September 2025,"Main discipline: Organic Chemistry Secondary discipline: Photo-physical chemistry Keywords: chromophore, liquid crystal, photochromism, non linear optic, thin films, 3D optical data storage, second harmonic generation, two-photon absorption. This is a call for expressions of interest from...",Yildiz Technical University,/jobs/hosting/msca-postdoctoral-fellowship-organic-chemistry-liquid-crystal-0,Behavioral_Data_Science
Doctoral fellow - Department of Structural Engineering and Building Materials,Belgium,27 May 2025,24 Aug 2025 - 21:59 (UTC),Department TW14 - Department of Structural Engineering and Building MaterialsContract Limited durationDegree MSc in Structural or Mechanical EngineeringOccupancy rate 100%Vacancy type Research staffJob descriptionABOUT GHENT UNIVERSITYGhent University is a world of its own. Employing more than 15...,Academic Positions,/jobs/347343,Behavioral_Data_Science
PhD Student for TRANSFORM research project,Spain,26 May 2025,30 Sep 2025 - 23:59 (Europe/Madrid),The Massachusetts Institute of Technology (MIT) and the Zaragoza Logistics Center (ZLC) in Spain have partnered to create an international program for education and research in logistics & supply chain management. This successful partnership led to the creation of the MIT Global SCALE Network that...,Zaragoza Logistics Center - ZLC,/jobs/347181,Behavioral_Data_Science
Postdoc: Agent-based modelling for revitalised Dutch peatlands,Netherlands,23 May 2025,15 Aug 2025 - 21:59 (UTC),"The Postdoc will work within the transdisciplinary VeenVitaal project (https://veenvitaal.info/), which has been running for about 2.5 years now, and will run until the end of 2027. The project aims to contribute to revitalised peatlands in The Netherlands, and you will contribute to this by: (1)...",AcademicTransfer,/jobs/346458,Behavioral_Data_Science
Associate Professor/Assistant Professor in Brain Cognition and AI,Macao,15 July 2025,12 Sep 2025 - 00:00 (UTC),The University of Macau (UM) is an internationalized research-oriented comprehensive public university in the Macao Special Administrative Region (MSAR) located at the west bank of the Guangdong-Hong Kong-Macao Greater Bay Area (GBA). The GBA is rapidly developing into one of the leading technology...,Times Higher Education,/jobs/361011,Behavioral_Data_Science
Postdoctoral Position on Estimation and Implications of Invisible Languages on the Internet,Netherlands,15 July 2025,30 Sep 2025 - 21:59 (UTC),University of Amsterdam’s Amsterdam School of Communication Research (ASCoR) invites applications for a fully funded Postdoctoral Researcher on our ‘Invisible Languages’ project. The postdoc appointee will assess grassroots and digital prevalence for more than 7000 languages currently spoken by...,University of Amsterdam (UvA) via AcademicTransfer,/jobs/360961,Behavioral_Data_Science
Postdoctoral Position on Timber and Biobased Structures of the 21st Century,Netherlands,15 July 2025,31 Aug 2025 - 21:59 (UTC),Are you interested in timber and other biobased materials? Do you like hands-on and experimental research? Join us in our quest for timber and biobased structures of the 21st century.Jobdescription Delft University of Technology is hiring a postdoctoral researcher that will help expand its research...,Delft University of Technology via AcademicTransfer,/jobs/360964,Behavioral_Data_Science
PhD Candidate in Experimental Biological Physics of Cardiovascular Systems,Netherlands,15 July 2025,17 Aug 2025 - 21:59 (UTC),"Are you intrigued by the physical mechanisms that drive biological processes? Are you passionate about using microscopy, experimental biophysics, and image processing to understand cell and tissue behaviour under mechanical stimuli? Then this might be the ideal position for you! Fluidlab at the...",University of Amsterdam (UvA) via AcademicTransfer,/jobs/360973,Behavioral_Data_Science
Call for Research Grant Assignment | 1108273 | REMORA,Portugal,14 July 2025,6 Oct 2025 - 23:59 (Europe/Lisbon),"Call for Research Grant AssignmentThe University of Coimbra opens a call for the assignment of a research grant, with 1 position(s), under the project REMORA, titled “Swarm Robotics for the Monitoring and Enhancement of Aquatic Resources”.The call is governed by this Notice of Opening, the...",Universidade de Coimbra,/jobs/360943,Behavioral_Data_Science
